Countries,lag_1,lag_2,lag_3,lag_4,lag_5,y
Belgium,29.91,29.86,29.9,29.55,29.71,29.35
Belgium,29.35,29.91,29.86,29.9,29.55,28.95
Belgium,28.95,29.35,29.91,29.86,29.9,28.76
Belgium,28.76,28.95,29.35,29.91,29.86,28.63
Belgium,28.63,28.76,28.95,29.35,29.91,32.46
Belgium,32.46,28.63,28.76,28.95,29.35,30.12
Belgium,30.12,32.46,28.63,28.76,28.95,28.55
Belgium,29.91,29.86,29.9,29.55,29.71,29.35
Belgium,29.35,29.91,29.86,29.9,29.55,28.95
Belgium,28.95,29.35,29.91,29.86,29.9,28.76
Belgium,28.76,28.95,29.35,29.91,29.86,28.63
Belgium,28.63,28.76,28.95,29.35,29.91,32.46
Belgium,32.46,28.63,28.76,28.95,29.35,30.12
Belgium,30.12,32.46,28.63,28.76,28.95,28.55
Belgium,29.91,29.86,29.9,29.55,29.71,29.35
Belgium,29.35,29.91,29.86,29.9,29.55,28.95
Belgium,28.95,29.35,29.91,29.86,29.9,28.76
Belgium,28.76,28.95,29.35,29.91,29.86,28.63
Belgium,28.63,28.76,28.95,29.35,29.91,32.46
Belgium,32.46,28.63,28.76,28.95,29.35,30.12
Belgium,30.12,32.46,28.63,28.76,28.95,28.55
Belgium,29.91,29.86,29.9,29.55,29.71,29.35
Belgium,29.35,29.91,29.86,29.9,29.55,28.95
Belgium,28.95,29.35,29.91,29.86,29.9,28.76
Belgium,28.76,28.95,29.35,29.91,29.86,28.63
Belgium,28.63,28.76,28.95,29.35,29.91,32.46
Belgium,32.46,28.63,28.76,28.95,29.35,30.12
Belgium,30.12,32.46,28.63,28.76,28.95,28.55
Belgium,29.91,29.86,29.9,29.55,29.71,29.35
Belgium,29.35,29.91,29.86,29.9,29.55,28.95
Belgium,28.95,29.35,29.91,29.86,29.9,28.76
Belgium,28.76,28.95,29.35,29.91,29.86,28.63
Belgium,28.63,28.76,28.95,29.35,29.91,32.46
Belgium,32.46,28.63,28.76,28.95,29.35,30.12
Belgium,30.12,32.46,28.63,28.76,28.95,28.55
Belgium,29.91,29.86,29.9,29.55,29.71,29.35
Belgium,29.35,29.91,29.86,29.9,29.55,28.95
Belgium,28.95,29.35,29.91,29.86,29.9,28.76
Belgium,28.76,28.95,29.35,29.91,29.86,28.63
Belgium,28.63,28.76,28.95,29.35,29.91,32.46
Belgium,32.46,28.63,28.76,28.95,29.35,30.12
Belgium,30.12,32.46,28.63,28.76,28.95,28.55
Belgium,29.91,29.86,29.9,29.55,29.71,29.35
Belgium,29.35,29.91,29.86,29.9,29.55,28.95
Belgium,28.95,29.35,29.91,29.86,29.9,28.76
Belgium,28.76,28.95,29.35,29.91,29.86,28.63
Belgium,28.63,28.76,28.95,29.35,29.91,32.46
Belgium,32.46,28.63,28.76,28.95,29.35,30.12
Belgium,30.12,32.46,28.63,28.76,28.95,28.55
Belgium,29.91,29.86,29.9,29.55,29.71,29.35
Belgium,29.35,29.91,29.86,29.9,29.55,28.95
Belgium,28.95,29.35,29.91,29.86,29.9,28.76
Belgium,28.76,28.95,29.35,29.91,29.86,28.63
Belgium,28.63,28.76,28.95,29.35,29.91,32.46
Belgium,32.46,28.63,28.76,28.95,29.35,30.12
Belgium,30.12,32.46,28.63,28.76,28.95,28.55
Bosnia and Herzegovina,20.33,20.93,20.7,20.7,20.7,20.8
Bosnia and Herzegovina,20.8,20.33,20.93,20.93,20.93,20.23
Bosnia and Herzegovina,20.23,20.8,20.33,20.33,20.33,19.74
Bosnia and Herzegovina,19.74,20.23,20.8,20.8,20.8,19.85
Bosnia and Herzegovina,19.85,19.74,20.23,20.23,20.23,22.31
Bosnia and Herzegovina,22.31,19.85,19.74,19.74,,19.95
Bosnia and Herzegovina,19.95,22.31,19.85,,,18.79
Bosnia and Herzegovina,20.33,20.93,20.7,20.7,20.7,20.8
Bosnia and Herzegovina,20.8,20.33,20.93,20.93,20.93,20.23
Bosnia and Herzegovina,20.23,20.8,20.33,20.33,20.33,19.74
Bosnia and Herzegovina,19.74,20.23,20.8,20.8,20.8,19.85
Bosnia and Herzegovina,19.85,19.74,20.23,20.23,20.23,22.31
Bosnia and Herzegovina,22.31,19.85,19.74,19.74,,19.95
Bosnia and Herzegovina,19.95,22.31,19.85,,,18.79
Bosnia and Herzegovina,20.33,20.93,20.7,20.7,20.7,20.8
Bosnia and Herzegovina,20.8,20.33,20.93,20.93,20.93,20.23
Bosnia and Herzegovina,20.23,20.8,20.33,20.33,20.33,19.74
Bosnia and Herzegovina,19.74,20.23,20.8,20.8,20.8,19.85
Bosnia and Herzegovina,19.85,19.74,20.23,20.23,20.23,22.31
Bosnia and Herzegovina,22.31,19.85,19.74,19.74,,19.95
Bosnia and Herzegovina,19.95,22.31,19.85,,,18.79
Bosnia and Herzegovina,20.33,20.93,20.7,20.7,20.7,20.8
Bosnia and Herzegovina,20.8,20.33,20.93,20.93,20.93,20.23
Bosnia and Herzegovina,20.23,20.8,20.33,20.33,20.33,19.74
Bosnia and Herzegovina,19.74,20.23,20.8,20.8,20.8,19.85
Bosnia and Herzegovina,19.85,19.74,20.23,20.23,20.23,22.31
Bosnia and Herzegovina,22.31,19.85,19.74,19.74,,19.95
Bosnia and Herzegovina,19.95,22.31,19.85,,,18.79
Bosnia and Herzegovina,20.33,20.93,20.7,20.7,20.7,20.8
Bosnia and Herzegovina,20.8,20.33,20.93,20.93,20.93,20.23
Bosnia and Herzegovina,20.23,20.8,20.33,20.33,20.33,19.74
Bosnia and Herzegovina,19.74,20.23,20.8,20.8,20.8,19.85
Bosnia and Herzegovina,19.85,19.74,20.23,20.23,20.23,22.31
Bosnia and Herzegovina,22.31,19.85,19.74,19.74,,19.95
Bosnia and Herzegovina,19.95,22.31,19.85,,,18.79
Bosnia and Herzegovina,20.33,20.93,20.7,20.7,20.7,20.8
Bosnia and Herzegovina,20.8,20.33,20.93,20.93,20.93,20.23
Bosnia and Herzegovina,20.23,20.8,20.33,20.33,20.33,19.74
Bosnia and Herzegovina,19.74,20.23,20.8,20.8,20.8,19.85
Bosnia and Herzegovina,19.85,19.74,20.23,20.23,20.23,22.31
Bosnia and Herzegovina,22.31,19.85,19.74,19.74,,19.95
Bosnia and Herzegovina,19.95,22.31,19.85,,,18.79
Bosnia and Herzegovina,20.33,20.93,20.7,20.7,20.7,20.8
Bosnia and Herzegovina,20.8,20.33,20.93,20.93,20.93,20.23
Bosnia and Herzegovina,20.23,20.8,20.33,20.33,20.33,19.74
