geo,age,sex,citizen,acceptance_rate
Austria,From 18 to 34 years,Females,Ukraine,0.5714285714285714
Austria,From 18 to 34 years,Females,Uzbekistan,0.0
Austria,From 18 to 34 years,Females,Venezuela,0.6666666666666666
Austria,From 18 to 34 years,Females,Yemen,1.0
Austria,From 18 to 34 years,Males,Afghanistan,0.6442687747035574
Austria,From 18 to 34 years,Males,Albania,0.0
Austria,From 18 to 34 years,Males,Algeria,0.0
Austria,From 18 to 34 years,Males,Armenia,0.2
Austria,From 18 to 34 years,Males,Azerbaijan,0.0
Austria,From 18 to 34 years,Males,Bangladesh,0.019417475728155338
Austria,From 18 to 34 years,Males,Belarus,0.0
Austria,From 18 to 34 years,Males,Benin,0.0
Austria,From 18 to 34 years,Males,Bosnia and Herzegovina,0.0
Austria,From 18 to 34 years,Males,Burkina Faso,0.0
Austria,From 18 to 34 years,Males,Burundi,0.5
Austria,From 18 to 34 years,Males,Cameroon,0.3333333333333333
Austria,From 18 to 34 years,Males,China,0.5
Austria,From 18 to 34 years,Males,Colombia,0.0
Austria,From 18 to 34 years,Males,Côte d’Ivoire,0.0
Austria,From 18 to 34 years,Males,Democratic Republic of the Congo,0.0
Austria,From 18 to 34 years,Males,Egypt,0.004048582995951417
Austria,From 18 to 34 years,Males,Eritrea,0.6
Austria,From 18 to 34 years,Males,Ethiopia,0.2857142857142857
Austria,From 18 to 34 years,Males,"Gambia, The",0.0
Austria,From 18 to 34 years,Males,Georgia,0.03333333333333333
Austria,From 18 to 34 years,Males,Ghana,0.0
Austria,From 18 to 34 years,Males,Guinea,0.25
Austria,From 18 to 34 years,Males,India,0.0007412898443291327
Austria,From 18 to 34 years,Males,Iran,0.4126984126984127
Austria,From 18 to 34 years,Males,Iraq,0.21929824561403508
Austria,From 18 to 34 years,Males,Jordan,0.08333333333333333
Austria,From 18 to 34 years,Males,Kosovo*,0.0
Austria,From 18 to 34 years,Males,Lebanon,0.15384615384615385
Austria,From 18 to 34 years,Males,Libya,0.125
Austria,From 18 to 34 years,Males,Mali,0.0
Austria,From 18 to 34 years,Males,Moldova,0.0
Austria,From 18 to 34 years,Males,Mongolia,0.0
Austria,From 18 to 34 years,Males,Morocco,0.0009694619486185168
Austria,From 18 to 34 years,Males,Myanmar/Burma,0.5
Austria,From 18 to 34 years,Males,Nepal,0.0
Austria,From 18 to 34 years,Males,Nigeria,0.11764705882352941
Austria,From 18 to 34 years,Males,North Macedonia,0.0
Austria,From 18 to 34 years,Males,Pakistan,0.0035746201966041107
Austria,From 18 to 34 years,Males,Peru,0.0
Austria,From 18 to 34 years,Males,Russia,0.36585365853658536
Austria,From 18 to 34 years,Males,Senegal,0.0
Austria,From 18 to 34 years,Males,Serbia,0.0
Austria,From 18 to 34 years,Males,Somalia,0.5300546448087432
Austria,From 18 to 34 years,Males,South Africa,0.0
Austria,From 18 to 34 years,Males,Sri Lanka,0.0
Austria,From 18 to 34 years,Males,Stateless,0.7387387387387387
Austria,From 18 to 34 years,Males,Sudan,0.7272727272727273
Austria,From 18 to 34 years,Males,Syria,0.967620075553157
Austria,From 18 to 34 years,Males,Tajikistan,0.25
Austria,From 18 to 34 years,Males,Total,0.36990748255153383
Austria,From 18 to 34 years,Males,Tunisia,0.0015860428231562252
Austria,From 18 to 34 years,Males,Turkmenistan,0.0
Austria,From 18 to 34 years,Males,Türkiye,0.031413612565445025
Austria,From 18 to 34 years,Males,Ukraine,0.625
Austria,From 18 to 34 years,Males,Unknown,0.0
Austria,From 18 to 34 years,Males,Uzbekistan,0.0
Austria,From 18 to 34 years,Males,Venezuela,0.5714285714285714
Austria,From 18 to 34 years,Males,Yemen,0.8974358974358975
Austria,From 35 to 64 years,Females,Afghanistan,0.9787234042553191
Austria,From 35 to 64 years,Females,Albania,0.0
Austria,From 35 to 64 years,Females,Algeria,0.0
Austria,From 35 to 64 years,Females,Armenia,0.09090909090909091
Austria,From 35 to 64 years,Females,Azerbaijan,0.0
Austria,From 35 to 64 years,Females,Belarus,1.0
Austria,From 35 to 64 years,Females,China,0.17391304347826086
Austria,From 35 to 64 years,Females,Colombia,0.0
Austria,From 35 to 64 years,Females,Democratic Republic of the Congo,0.0
Austria,From 35 to 64 years,Females,Egypt,0.0
Austria,From 35 to 64 years,Females,Eritrea,1.0
Austria,From 35 to 64 years,Females,Ethiopia,1.0
Austria,From 35 to 64 years,Females,Georgia,0.15789473684210525
Austria,From 35 to 64 years,Females,India,0.0
Austria,From 35 to 64 years,Females,Iran,0.6451612903225806
Austria,From 35 to 64 years,Females,Iraq,0.625
Austria,From 35 to 64 years,Females,Jordan,0.5
Austria,From 35 to 64 years,Females,Kenya,0.0
Austria,From 35 to 64 years,Females,Kosovo*,0.0
Austria,From 35 to 64 years,Females,Lebanon,0.5
Austria,From 35 to 64 years,Females,Libya,1.0
Austria,From 35 to 64 years,Females,Moldova,0.0
Austria,From 35 to 64 years,Females,Mongolia,0.0
Austria,From 35 to 64 years,Females,Morocco,0.0
Austria,From 35 to 64 years,Females,Nigeria,0.2857142857142857
Austria,From 35 to 64 years,Females,North Macedonia,0.0
Austria,From 35 to 64 years,Females,Pakistan,0.8
Austria,From 35 to 64 years,Females,Russia,0.5
Austria,From 35 to 64 years,Females,Somalia,0.92
Austria,From 35 to 64 years,Females,Sri Lanka,0.0
Austria,From 35 to 64 years,Females,Stateless,0.95
Austria,From 35 to 64 years,Females,Sudan,1.0
